region_code,date,checkout_success_rate,stockout_rate,delivery_days,sla_breach_rate,inventory_on_hand_pct,complaint_rate,sentiment_index
N,2026-07-29,0.9569372627413272,0.02813126822412014,2.576115042855963,0.036913967312872414,0.9156061953276395,0.014820246695168316,0.6349150179440155
N,2026-07-30,0.9648840643930435,0.02884033325649798,2.445979197369889,0.03889558526575566,0.9134790002305061,0.015163499175198374,0.6429596259698271
N,2026-07-31,0.9586164548957348,0.032099186223372815,2.5419372304342684,0.03975378000587225,0.9037024413298815,0.016117431096732613,0.5928226220935583
N,2026-08-01,0.9630522319185734,0.02797181403078139,2.5382911327295004,0.041299021458625795,0.9160845579076559,0.01573207361027598,0.6498321974713356
N,2026-08-02,0.9623372143149376,0.03050873519182205,2.5029841791838408,0.037973862124979496,0.9084737944245338,0.015662170646712183,0.6440405401447787
N,2026-08-03,0.9655070089387894,0.028217337080463766,2.485048273159191,0.039554469606280326,0.9153479887586087,0.014744698859006165,0.601663971304521
N,2026-08-04,0.9663723156809807,0.029150997633486983,2.579326702700928,0.04047886997163296,0.9125470070995391,0.01402694625109434,0.5926044447101653
N,2026-08-05,0.96353790448308,0.031978635539487,2.59945335756056,0.042694103957712656,0.904064093381539,0.013985353351570664,0.6196503241105005
N,2026-08-06,0.9652808380365371,0.03177992986030877,2.4909460943657904,0.04276261096000671,0.9046602104190737,0.015108534635044633,0.5955786673102528
N,2026-08-07,0.9612498659420012,0.029342738234996793,2.5827263947576284,0.0431973833411932,0.9119717852950097,0.015103144728206098,0.613592042869702
N,2026-08-08,0.9663502163994312,0.02806128097102046,2.533745982404798,0.04141714850068093,0.9158161570869386,0.0157171054713428,0.5915439842643216
N,2026-08-09,0.9629019793653488,0.03193476480580866,2.447257091291249,0.04205913141220808,0.904195705582574,0.013892756007425486,0.6177764084571972
N,2026-08-10,0.9673721186506747,0.030420808975026012,2.4780401688534766,0.04240971056073904,0.908737573074922,0.016181257531419396,0.6095652924831957
N,2026-08-11,0.9647671334266662,0.03153988846801221,2.459480101894587,0.04098678680658341,0.9053803345959633,0.01596433322969824,0.6259952582791447
N,2026-08-12,0.967179373100996,0.028630209563300014,2.4737666476517917,0.0377352713957429,0.9141093713101,0.015196609270200133,0.5889055046921596
N,2026-08-13,0.9525588198959828,0.030394489331915978,2.4369509858544918,0.037359928019344804,0.908816532004252,0.015955445238947867,0.6362961191941052
N,2026-08-14,0.9524620207536221,0.027732321624085305,2.4583376355934887,0.041524627116322516,0.9168030351277441,0.014701601544767616,0.6170216853167861
N,2026-08-15,0.9610082239687443,0.03169198307991028,2.408313171425834,0.03749462273269892,0.9049240507602692,0.0157294917024672,0.626578740140237
N,2026-08-16,0.9543364875411987,0.029563064612075685,2.568109909724444,0.04009329520314932,0.9113108061637729,0.015356758687645196,0.6407700906237587
N,2026-08-17,0.9562729893994331,0.028603792434185742,2.5558478033170107,0.037776745305955414,0.9141886226974427,0.01522387944795191,0.6279797390639782
N,2026-08-18,0.9617696499073504,0.031088948972895745,2.506404853099957,0.04232484924048185,0.9067331530813127,0.014138417540118098,0.5948264707056806
N,2026-08-19,0.9633318460428715,0.027740690829232334,2.5508858317974954,0.03789050037711859,0.916777927512303,0.01606949651520699,0.6367294533152132
N,2026-08-20,0.9523887000203133,0.03133693436421454,2.4659962045028805,0.038008113420009614,0.9059891969073564,0.015028007822670041,0.6126471096834167
N,2026-08-21,0.954156537977457,0.029351783922314644,2.4549256484955553,0.042817921020090584,0.9119446482330561,0.014151483730226753,0.599772964845039
N,2026-08-22,0.9668403346037864,0.028246306190639732,2.5634123432915654,0.03852528516054154,0.9152610814280808,0.014033755888044832,0.647095160343498
N,2026-08-23,0.9616027393662928,0.030285755441710353,2.4251605564262717,0.039132369913160804,0.909142733674869,0.014449075959809125,0.6331021390603856
N,2026-08-24,0.960209673807621,0.030833245080336927,2.4215581544209273,0.03753506944924593,0.9075002647589893,0.013841823743283748,0.6163527765000238
N,2026-08-25,0.9588464984679222,0.031816336704790595,2.457012285012752,0.041645641534030435,0.9045509898856282,0.015342013218998907,0.6184090142320842
N,2026-08-26,0.9547588883864879,0.029056223046407103,2.5724647865630685,0.042887866833806035,0.9128313308607787,0.0157441892048344,0.5842872806284577
N,2026-08-27,0.8208,0.0319340182710439,2.55,0.042,0.9041979451868682,0.01875,0.558
S,2026-07-29,0.9540892990566976,0.042540960098803045,3.0940091989003125,0.0489979326017201,0.8723771197035909,0.016979191522300242,0.5516825901364908
S,2026-07-30,0.9564761012338847,0.037796844227612016,3.001610232274979,0.04913131674937904,0.886609467317164,0.018393314547389746,0.6078494846092537
S,2026-07-31,0.9481247853168658,0.04226184121966362,3.051768763605505,0.05391316038556398,0.8732144763410091,0.018775164510682226,0.5585316760510205
S,2026-08-01,0.9624619641815125,0.03844441448450089,2.8874216482602058,0.04984736174345017,0.8846667565464974,0.01663708848416805,0.5510226087909191
S,2026-08-02,0.9485266234353557,0.03720785528421402,2.989039380010217,0.0504760764669627,0.8883764341473579,0.017960849229991437,0.577663359064795
S,2026-08-03,0.9512759664558805,0.038751650828123096,2.8954691617749635,0.047856072083115576,0.8837450475156308,0.01906474076069891,0.573532307488285
S,2026-08-04,0.9486094621117972,0.03827317992448807,3.0201382819935683,0.051236605817452076,0.8851804602265358,0.01942384345382452,0.59719707510937
S,2026-08-05,0.9535851341899297,0.039467193856835364,2.93487319663167,0.05172027483582497,0.8815984184294939,0.01765708156362176,0.5603994139052927
S,2026-08-06,0.9534411363621801,0.038447001105546955,2.926690564211458,0.05053278568945825,0.8846589966833591,0.018460078800693152,0.6028076873948797
S,2026-08-07,0.9521058513191901,0.040037707075476645,3.0526024122163653,0.049851186716929084,0.8798868787735701,0.01870642457976937,0.5685554190961644
S,2026-08-08,0.9591937613654136,0.03806056514531374,2.964144563488662,0.048564867775887255,0.8858183045640587,0.018043430312275885,0.5566693757401779
S,2026-08-09,0.9487136389103904,0.038095812691748145,2.9115976038202644,0.04873958978056908,0.8857125619247556,0.016620499379485842,0.5778274985536932
S,2026-08-10,0.9495578933445364,0.037597410389781,3.0894181976281105,0.051908474031835794,0.887207768830657,0.018987154395505787,0.5488574744837358
S,2026-08-11,0.948576408082284,0.04071425607055426,2.9854455267079176,0.04909679157100618,0.8778572317883372,0.01879069064117968,0.5544944663261995
S,2026-08-12,0.9522588766254484,0.037225944086909296,3.018582492750138,0.047406912580132486,0.8883221677392721,0.01862564733535051,0.6060148893605917
