region_name,date,traffic,conversion_rate,churn_rate,renewal_rate,active_customers
North,2026-07-29,15266,0.08131075165420772,0.020453079188615084,0.9713656891359389,41735
North,2026-07-30,15000,0.08022790908813476,0.019372927364706995,0.9728779016894102,41727
North,2026-07-31,14722,0.08124852232541889,0.01952465848326683,0.9726654781234264,42004
North,2026-08-01,13564,0.0781143582360819,0.018841364475339652,0.9736220897345245,41630
North,2026-08-02,14094,0.08015318773593753,0.01994819815978408,0.9720725225763023,41624
North,2026-08-03,15115,0.08126822196412832,0.020553131160885096,0.9712256163747609,41599
North,2026-08-04,14827,0.07914149924367667,0.018730094960331917,0.9737778670555353,41830
North,2026-08-05,14626,0.07864471861347556,0.018994850283116104,0.9734072096036375,42045
North,2026-08-06,15363,0.07959966601245105,0.021580346392095093,0.9697875150510669,41949
North,2026-08-07,14911,0.07908761006221175,0.02154459690451622,0.9698375643336773,42107
North,2026-08-08,13582,0.07803649487067015,0.019129302614182234,0.9732189763401449,41832
North,2026-08-09,13476,0.07960388902109117,0.01881892361044884,0.9736535069453717,42037
North,2026-08-10,15271,0.08180990911461412,0.019016742011904716,0.9733765611833334,41658
North,2026-08-11,14638,0.07883822268806398,0.019282957269996404,0.973003859822005,41892
North,2026-08-12,14867,0.07834801382292061,0.020013193323463203,0.9719815293471515,41699
North,2026-08-13,14902,0.07843818053323776,0.020428013999760155,0.9714007804003357,41734
North,2026-08-14,15066,0.08157648721337318,0.020795407816022637,0.9708864290575683,41662
North,2026-08-15,13449,0.0807152310712263,0.020280212013423445,0.9716077031812071,42053
North,2026-08-16,13635,0.08095728355459869,0.019253392738103867,0.9730452501666546,42095
North,2026-08-17,14928,0.08100043377652764,0.020767458846420048,0.970925557615012,41923
North,2026-08-18,15134,0.07854080412629992,0.020341412997990846,0.9715220218028128,41790
North,2026-08-19,15375,0.08129839701298625,0.019378243502229452,0.9728704590968787,42028
North,2026-08-20,15051,0.08044435145892204,0.019738652993738653,0.9723658858087659,42259
North,2026-08-21,14723,0.08016457455139607,0.020080311365425586,0.9718875640884042,42323
North,2026-08-22,13915,0.08154962791688741,0.020900173202902078,0.9707397575159371,42413
North,2026-08-23,13486,0.08108226178027689,0.021098950828611848,0.9704614688399434,41956
